customer_zip_code_prefix,lat,lng,city_norm,n_pedidos,valor_total,freight_total
23064,-22.90074270257361,-43.58463842554154,rio de janeiro,8,1336.85,139.71
23065,-22.88293828358117,-43.625086210988606,rio de janeiro,9,843.28,229.3
23066,-22.888192458215805,-43.62473650428692,rio de janeiro,15,1722.0,255.92999999999998
23067,-22.88243614479021,-43.61658346798473,rio de janeiro,2,477.99,166.6
23068,-22.88645864857024,-43.59762968190717,rio de janeiro,8,1058.18,284.94
23070,-22.896407842881192,-43.57751001381104,rio de janeiro,17,3048.47,403.76
23071,-22.888368672611158,-43.58090949448299,rio de janeiro,13,1112.9,252.74
23073,-22.890041427693028,-43.57897537149158,rio de janeiro,11,1612.76,212.03
23075,-22.877775179542617,-43.57771051289783,rio de janeiro,31,3144.32,654.77
23076,-22.88245539011392,-43.57494224901807,rio de janeiro,1,20.3,15.1
23078,-22.87216705136316,-43.58925307377246,rio de janeiro,12,946.09,383.40999999999997
23080,-22.89853933540845,-43.56542140516348,rio de janeiro,15,2280.4700000000003,389.86
23081,-22.89433959920376,-43.56722290454661,rio de janeiro,5,777.6700000000001,83.03999999999999
23082,-22.8942153041908,-43.57129087148408,rio de janeiro,4,621.99,73.9
23085,-22.893920459110284,-43.54642397807567,rio de janeiro,10,814.9599999999999,227.8
23087,-22.886393425025823,-43.558872618395576,rio de janeiro,17,2807.65,336.33
23088,-22.88543771705454,-43.54971957423268,rio de janeiro,13,1481.53,335.76
23090,-22.878043319496523,-43.562917395844295,rio de janeiro,12,1307.95,259.39
23092,-22.87085601200714,-43.54384874896292,rio de janeiro,22,3447.42,542.24
23093,-22.87751529574331,-43.53029348075376,rio de janeiro,11,1735.58,308.77
23094,-22.876209770242788,-43.51981673638026,rio de janeiro,9,1068.99,230.87
23095,-22.86940966621501,-43.55658717782943,rio de janeiro,15,1486.68,407.38
23097,-22.85109676327036,-43.53613869095038,rio de janeiro,8,2435.26,129.27
23098,-22.870188890670534,-43.52187688533317,rio de janeiro,2,478.90999999999997,102.69
23510,-22.91973437055113,-43.67148457968753,rio de janeiro,7,745.28,165.57
23515,-22.92368923724333,-43.68292592394352,rio de janeiro,6,889.86,244.84
23520,-22.936255491866653,-43.661399065747545,rio de janeiro,27,2148.58,500.97
23525,-22.94503552262656,-43.67692431410214,rio de janeiro,5,470.63,61.82
23530,-22.97383432126233,-43.6810761924786,rio de janeiro,8,966.25,156.52
23535,-22.9790211808901,-43.69012245165258,rio de janeiro,14,1817.67,692.35
23540,-22.974468021753417,-43.696539704365605,rio de janeiro,9,815.74,172.04000000000002
23545,-22.967091308000946,-43.700265635554,rio de janeiro,11,1098.27,221.01
23547,-22.93249321644976,-43.62300753113864,rio de janeiro,2,145.89,35.370000000000005
23550,-22.930711174851965,-43.68946380025854,rio de janeiro,16,2308.07,295.82
23555,-22.91750488776345,-43.69308722014739,rio de janeiro,6,1248.11,135.51
23560,-22.898979722466947,-43.69930833968601,rio de janeiro,19,3971.1800000000003,343.15
23565,-22.897761741341185,-43.69665951306267,rio de janeiro,2,76.99000000000001,37.64
23570,-22.909310774242133,-43.67111972773999,rio de janeiro,10,1559.87,223.17
23573,-22.913149027532867,-43.65356967363749,rio de janeiro,5,736.48,99.39
23575,-22.89798974016889,-43.6685591848473,rio de janeiro,18,1646.15,352.12
23580,-22.911119400069488,-43.62264162522756,rio de janeiro,13,1938.17,278.05
23585,-22.924510509727508,-43.63529705731422,rio de janeiro,22,2298.41,401.9
23587,-22.922380751135307,-43.629510536912335,rio de janeiro,18,2743.76,430.51
23595,-22.92668402323646,-43.62933031069839,rio de janeiro,12,1005.36,221.59
23810,-22.87093410934107,-43.76901268302672,itaguai,10,1477.67,210.63
23811,-22.864749343835488,-43.76730098420256,itaguai,5,573.14,105.33
23812,-22.872059666972863,-43.77093362835852,itaguai,5,793.85,136.33
23815,-22.86867015326329,-43.78013952780047,itaguai,4,995.88,106.03
23820,-22.862780471644363,-43.78526762819197,itaguai,4,522.4,106.66
23821,-22.870305329108017,-43.79064137470553,itaguai,1,249.9,36.88
23822,-22.861638585933974,-43.79342663064544,itaguai,1,247.0,19.61
23825,-22.885828313712477,-43.82785584819327,itaguai,4,375.05,52.02
23826,-22.89560484133116,-43.84587026303256,itaguai,4,246.45,77.39
23830,-22.8458671869452,-43.78333380428192,itaguai,2,258.0,126.25
23831,-22.876635031970025,-43.80985126698182,itaguai,3,234.8,52.26
23832,-22.85534509298971,-43.76583456328473,itaguai,1,89.0,15.37
23855,-22.86387076999147,-43.7592342671893,itaguai,2,59.4,35.019999999999996
23890,-22.787688375690134,-43.64890166112607,seropedica,3,218.60000000000002,62.87
23893,-22.71072154468618,-43.69140232860298,seropedica,2,309.9,43.75
23894,-22.74100679492528,-43.6998298199384,seropedica,9,820.27,181.35
23895,-22.746274001626645,-43.708503424610186,seropedica,9,1833.81,411.09000000000003
23897,-22.792366849451536,-43.662640119980665,seropedica,2,144.98,33.01
23898,-22.80791081625367,-43.644304412473865,seropedica,8,1063.59,133.13
24020,-22.893701145563103,-43.12041784927668,niteroi,34,10724.53,794.6
24027,-21.2189719026067,-41.87752350568823,niteroi,1,27.9,15.1
24030,-22.88869745778228,-43.11830702093674,niteroi,33,4484.4,715.05
24040,-22.882735624308985,-43.12349628123474,niteroi,4,439.41999999999996,74.80000000000001
24050,-22.87517503985885,-43.109560284753925,niteroi,2,242.9,50.94
24060,-22.88593419631651,-43.1106543708203,niteroi,9,1055.94,207.37
24070,-22.89348624508981,-43.11089097581806,niteroi,1,56.1,19.58
24110,-22.867915276400392,-43.09960548772942,niteroi,44,4099.18,844.6800000000001
24111,-22.86398451494475,-43.09252306679081,niteroi,2,74.9,35.06
24119,-22.86343492846253,-43.09725737403164,niteroi,1,38.9,15.23
24120,-22.88327023685682,-43.09227400558896,niteroi,36,4472.32,898.24
24130,-22.87922689320265,-43.09157186572144,niteroi,26,3916.8300000000004,574.27
24140,-22.889267493261837,-43.04860885808703,niteroi,6,241.67000000000002,104.78
24141,-22.87816915718994,-43.05564163085743,niteroi,4,373.78999999999996,109.25999999999999
24210,-22.9006237676799,-43.127072924198885,niteroi,69,7669.09,1437.52
24220,-22.90324481661885,-43.107023598220486,niteroi,115,17242.79,2742.25
24230,-22.878636914963277,-43.08609614601055,niteroi,117,17100.69,2802.2
24240,-22.897237232548903,-43.09915756428693,niteroi,59,6874.15,1447.55
24241,-22.904219800443407,-43.09158065028214,niteroi,21,2001.4699999999998,365.37
24310,-22.9110328213164,-43.06742681237905,niteroi,8,427.54,154.54999999999998
