geolocation_zip_code_prefix,lat,lng,city,n_records
21070,-22.843914411682647,-43.283779066776354,rio de janeiro,183
21071,-22.860726267312923,-43.28764650581979,rio de janeiro,24
21072,-22.859107430364904,-43.33669202128591,rio de janeiro,14
21073,-22.850770856037,-43.27052152360208,rio de janeiro,216
21200,-22.85347704411689,-43.30393765860703,rio de janeiro,1
21210,-22.84373140637614,-43.30242672582638,rio de janeiro,290
21211,-22.836828071243165,-43.30804460963914,rio de janeiro,140
21215,-22.833788776762514,-43.296044333899985,rio de janeiro,239
21220,-22.849422868592246,-43.31350882748824,rio de janeiro,342
21221,-22.84606476402831,-43.31053536227519,rio de janeiro,295
21230,-22.826662975624334,-43.3225314634884,rio de janeiro,397
21231,-22.831527268945862,-43.32219671997402,rio de janeiro,70
21235,-22.83791177652518,-43.322271046058205,rio de janeiro,449
21236,-22.8396852659843,-43.33712480023102,rio de janeiro,18
21240,-22.811121030063198,-43.326212799077666,rio de janeiro,135
21241,-22.81349696231808,-43.30803677134236,rio de janeiro,71
21250,-22.824619091439565,-43.30674667488387,rio de janeiro,236
21310,-22.879083342003987,-43.33935560703397,rio de janeiro,186
21311,-22.88918177352332,-43.32763594596467,rio de janeiro,138
21320,-22.892905876006864,-43.347644389533606,rio de janeiro,177
21321,-22.89512617328995,-43.357502145957,rio de janeiro,560
21330,-22.8828767826158,-43.36417448357049,rio de janeiro,541
21331,-22.87350715228709,-43.36567754387448,rio de janeiro,305
21340,-22.871018134717982,-43.35684491471535,rio de janeiro,148
21341,-22.88246658426185,-43.34945937530337,rio de janeiro,315
21350,-22.87793235260004,-43.330166204427464,rio de janeiro,101
21351,-22.870448202643566,-43.34296526816304,rio de janeiro,154
21360,-22.866945338258187,-43.33478170506691,rio de janeiro,129
21361,-22.853328261763206,-43.32822806263115,rio de janeiro,177
21370,-22.87000636720115,-43.32004486324283,rio de janeiro,71
21371,-22.85106228596877,-43.32617884775252,rio de janeiro,171
21380,-22.883317935180692,-43.31951190668025,rio de janeiro,181
21381,-22.87907528708003,-43.314672063074205,rio de janeiro,89
21440,-22.862645298084136,-43.25392422924009,rio de janeiro,1
21510,-22.84251003329592,-43.35349069066133,rio de janeiro,81
21511,-22.84410299270375,-43.35219269222594,rio de janeiro,62
21512,-22.84146868829085,-43.36195292092932,rio de janeiro,34
21515,-22.83902730987094,-43.35587746226516,rio de janeiro,21
21520,-22.810998397638027,-43.361877158530596,rio de janeiro,77
21521,-22.82487804675381,-43.34888814043365,rio de janeiro,20
21525,-22.822431352063457,-43.35542933694649,rio de janeiro,15
21530,-22.828811915352887,-43.346307609440586,rio de janeiro,62
21531,-22.850185193069112,-43.40251766853475,rio de janeiro,18
21532,-22.8130814021041,-43.36036408098235,rio de janeiro,31
21535,-22.819448109307597,-43.35408490190018,rio de janeiro,43
21540,-22.852143526409453,-43.342813020278854,rio de janeiro,148
21545,-22.843286137769397,-43.34344431819371,rio de janeiro,103
21550,-22.862095940453642,-43.35625169565915,rio de janeiro,170
21555,-22.855135850026098,-43.36350730842812,rio de janeiro,192
21557,-22.856203714532516,-43.37495578967732,rio de janeiro,37
21610,-22.867011045510353,-43.371883316604816,rio de janeiro,172
